scenario,site,rho_max,n_HOME_L2,n_PUBLIC_L2,n_PUBLIC_L3,n_total
2024_W17_T10,4,0.5598628018051385,1,0,1,2
2024_W17_T10,64,0.36789682880043983,1,1,1,3
2024_W17_T10,73,0.2542112171649933,1,1,0,2
2024_W17_T10,2,0.1946014165878296,1,0,1,2
2024_W17_T10,17,0.1872211955487728,1,0,1,2
2024_W17_T10,45,0.1643964909017086,2,0,0,2
2024_W17_T10,5,0.07915842533111572,2,0,0,2
2024_W17_T10,1,0.06790089327841997,0,1,1,2
2024_W17_T10,3,0.0206825602799654,0,2,0,2
2024_W17_T10,27,0.016191938892006874,1,0,1,2
2024_W17_T10,0,0.0,2,0,0,2
2024_W17_T10,37,0.0,2,0,0,2
2024_W17_T10,43,0.0,2,0,0,2
2024_W17_T10,44,0.0,2,0,0,2
2024_W17_T10,46,0.0,2,0,0,2
2024_W17_T10,47,0.0,0,2,0,2
2024_W17_T10,49,0.0,2,0,0,2
2024_W17_T10,50,0.0,2,0,0,2
2024_W17_T10,51,0.0,2,0,0,2
2024_W17_T10,53,0.0,0,2,0,2
2024_W17_T10,59,0.0,2,0,0,2
2024_W17_T10,66,0.0,2,0,0,2
2024_W17_T10,72,0.0,2,0,0,2
2024_W17_T10,74,0.0,0,2,0,2
2024_W17_T10,81,0.0,2,0,0,2
2024_W17_T10,82,0.0,2,0,0,2
2024_W17_T10,85,0.0,0,2,0,2
2024_W17_T10,91,0.0,2,0,0,2
2024_W17_T10,97,0.0,2,0,0,2
2024_W17_T10,102,0.0,0,2,0,2
2024_W17_T10,110,0.0,0,2,0,2
2024_W6_T20,4,0.5598628018051385,1,0,1,2
2024_W6_T20,64,0.36789682880043983,1,1,1,3
2024_W6_T20,73,0.2542112171649933,1,1,0,2
2024_W6_T20,2,0.1946014165878296,1,0,1,2
2024_W6_T20,17,0.1872211955487728,1,0,1,2
2024_W6_T20,45,0.1643964909017086,2,0,0,2
2024_W6_T20,5,0.07915842533111572,2,0,0,2
2024_W6_T20,1,0.06790089327841997,0,1,1,2
2024_W6_T20,3,0.0206825602799654,0,2,0,2
2024_W6_T20,27,0.016191938892006874,1,0,1,2
2024_W6_T20,0,0.0,2,0,0,2
2024_W6_T20,37,0.0,2,0,0,2
2024_W6_T20,43,0.0,2,0,0,2
2024_W6_T20,44,0.0,2,0,0,2
2024_W6_T20,46,0.0,2,0,0,2
2024_W6_T20,47,0.0,0,2,0,2
2024_W6_T20,49,0.0,2,0,0,2
2024_W6_T20,50,0.0,2,0,0,2
2024_W6_T20,51,0.0,2,0,0,2
2024_W6_T20,53,0.0,0,2,0,2
2024_W6_T20,59,0.0,2,0,0,2
2024_W6_T20,66,0.0,2,0,0,2
2024_W6_T20,72,0.0,2,0,0,2
2024_W6_T20,74,0.0,0,2,0,2
2024_W6_T20,81,0.0,2,0,0,2
2024_W6_T20,82,0.0,2,0,0,2
2024_W6_T20,85,0.0,0,2,0,2
2024_W6_T20,91,0.0,2,0,0,2
2024_W6_T20,97,0.0,2,0,0,2
2024_W6_T20,102,0.0,0,2,0,2
2024_W6_T20,110,0.0,0,2,0,2
2025_W35_T10,4,0.5598628018051385,1,0,1,2
2025_W35_T10,64,0.36789682880043983,1,1,1,3
2025_W35_T10,73,0.2542112171649933,1,1,0,2
2025_W35_T10,2,0.1946014165878296,1,0,1,2
2025_W35_T10,17,0.1872211955487728,1,0,1,2
2025_W35_T10,45,0.1643964909017086,2,0,0,2
2025_W35_T10,5,0.07915842533111572,2,0,0,2
2025_W35_T10,1,0.06790089327841997,0,1,1,2
2025_W35_T10,3,0.0206825602799654,0,2,0,2
2025_W35_T10,27,0.016191938892006874,1,0,1,2
2025_W35_T10,0,0.0,2,0,0,2
2025_W35_T10,37,0.0,2,0,0,2
2025_W35_T10,43,0.0,2,0,0,2
2025_W35_T10,44,0.0,2,0,0,2
2025_W35_T10,46,0.0,2,0,0,2
2025_W35_T10,47,0.0,0,2,0,2
2025_W35_T10,49,0.0,2,0,0,2
2025_W35_T10,50,0.0,2,0,0,2
2025_W35_T10,51,0.0,2,0,0,2
2025_W35_T10,53,0.0,0,2,0,2
2025_W35_T10,59,0.0,2,0,0,2
2025_W35_T10,66,0.0,2,0,0,2
2025_W35_T10,72,0.0,2,0,0,2
2025_W35_T10,74,0.0,0,2,0,2
2025_W35_T10,81,0.0,2,0,0,2
2025_W35_T10,82,0.0,2,0,0,2
2025_W35_T10,85,0.0,0,2,0,2
2025_W35_T10,91,0.0,2,0,0,2
2025_W35_T10,97,0.0,2,0,0,2
2025_W35_T10,102,0.0,0,2,0,2
2025_W35_T10,110,0.0,0,2,0,2
pred,0,0.0,2,0,0,2
pred,1,0.0,0,1,1,2
pred,2,0.0,1,0,1,2
pred,3,0.0,0,2,0,2
pred,4,0.0,1,0,1,2
pred,5,0.0,2,0,0,2
pred,17,0.0,1,0,1,2
pred,27,0.0,1,0,1,2
pred,37,0.0,2,0,0,2
pred,43,0.0,2,0,0,2
pred,44,0.0,2,0,0,2
pred,45,0.0,2,0,0,2
pred,46,0.0,2,0,0,2
pred,47,0.0,0,2,0,2
pred,49,0.0,2,0,0,2
pred,50,0.0,2,0,0,2
pred,51,0.0,2,0,0,2
pred,53,0.0,0,2,0,2
pred,59,0.0,2,0,0,2
pred,64,0.0,1,1,1,3
pred,66,0.0,2,0,0,2
pred,72,0.0,2,0,0,2
pred,73,0.0,1,1,0,2
pred,74,0.0,0,2,0,2
pred,81,0.0,2,0,0,2
pred,82,0.0,2,0,0,2
pred,85,0.0,0,2,0,2
pred,91,0.0,2,0,0,2
pred,97,0.0,2,0,0,2
pred,102,0.0,0,2,0,2
pred,110,0.0,0,2,0,2
